Stock File,Total Rows,Duplicate Pairs,Row1,Row2,Date,Action,Qty,Price1,Price2,Cost1,Cost2,Exch1,Exch2
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,6,15,2025-03-06 00:00:00,Buy,1.0,222.27,222.29,222.27,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,6,16,2025-03-06 00:00:00,Buy,1.0,222.27,222.29,222.27,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,6,17,2025-03-06 00:00:00,Buy,1.0,222.27,222.29,222.27,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,6,18,2025-03-06 00:00:00,Buy,1.0,222.27,222.29,222.27,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,6,19,2025-03-06 00:00:00,Buy,1.0,222.27,222.34,222.27,222.34,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,9,2025-03-06 00:00:00,Buy,1.0,222.26,222.33,222.26,222.33,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,12,2025-03-06 00:00:00,Buy,1.0,222.26,222.25,222.26,222.25,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,13,2025-03-06 00:00:00,Buy,1.0,222.26,222.3,222.26,222.3,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,15,2025-03-06 00:00:00,Buy,1.0,222.26,222.29,222.26,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,16,2025-03-06 00:00:00,Buy,1.0,222.26,222.29,222.26,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,17,2025-03-06 00:00:00,Buy,1.0,222.26,222.29,222.26,222.29,NSE,NSE
Archive_Indian Railway Ctrng nd Trsm Corp Ltd.xlsx,89,53,7,18,2025-03-06 00:00:00,Buy,1.0,222.26,222.29,222.26,222.29,NSE,NSE
